Name,Region,Country,City,Fest START Date,Fest END Date,Festival Lengh,Website,Entry Categories,Specialization,A-list,Deadline Regular,Deadline Extended,Free Submission,Link submission,Platform for submission,Notes about submission,Status,Last update
Galway Film Fleadh,Europe,Ireland,Galway,8/7/2025,13/7/2025,6 days,https://www.galwayfilmfleadh.com,"Short Documentary,Mid-length Documentary,Feature Documentary",,,10/2/2025,10/3/2025,,https://filmfreeway.com/GalwayFilmFleadh,FilmFreeway,"Shorts must be under 40 minutes; features 52 minutes or longer. 
Late Deadline for Irish Feature Films.
More info: https://www.galwayfilmfleadh.com/submissions/ 
",Active,4/22/2025
Geneva International Film Festival ,Europe,Switzerland,Geneva,31/10/2025,9/11/2025,10 days,https://www.giff.ch/en/,"VR/AR,Episodic",Fiction (mainly),,31/7/2025,,checked,https://vp.eventival.com/giff,Eventival,"Feature and short films are not eligible for submission.
Only open to submit for Series and Immersive Experiences.
More info: https://www.giff.ch/en/le-festival/call-for-entries/ ",Active,4/22/2025
German International Ethnographic Film Festival,Europe,Germany,Göttingen,13/5/2026,17/5/2026,5 days,https://www.gieff.de,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary",Ethnographic film,,1/12/2025,,,https://filmfreeway.com/GIEFF,FilmFreeway,"See guidelines: https://www.gieff.de/regulations.html
",Active,4/22/2025
GËSTU - Festival International du Film Documentaire de Dakar,Africa,Senegal,Dakar,1/3/2025,,,https://www.gestufestival.com/,"Short Documentary,Feature Documentary,Mid-length Documentary",,,31/1/2025,,checked,https://www.gestufestival.com/blog/,,,Active,4/22/2025
Gijón International Film Festival,Europe,Spain,Gijón,14/11/2025,22/11/2025,9 days,https://ficx.tv,"Short Documentary,Feature Documentary",Fiction (mainly),,22/9/2025,,checked,https://filmmakers.festhome.com/f/151,Festhome,"Shorts up to 30 min
Features over 45 min",Active,4/22/2025
Go Short - International Short Film Festival Nijmegen,Europe,Netherlands,Nijmegen,1/4/2026,5/4/2026,5 days,https://www.goshort.nl/en/,"Short Documentary,Student Documentary,VR/AR",,,,,,https://filmfreeway.com/GoShort-InternationalShortFilmFestivalNijmegen ; https://goshort.filmchief.com/,FilmFreeway,"Temporary submission deadline: 22.11.2025

Runtime no longer than 30 minutes.

The festival has European, Dutch and Student competitions. And also has a WiP section.",Active,4/22/2025
goEast Festival of Central and Eastern European Film,Europe,Germany,Wiesbaden,23/4/2025,29/4/2025,7 days,https://www.filmfestival-goeast.de/en/,"VR/AR,Mid-length Documentary,Feature Documentary",Eastern Europe,,31/1/2025,,,https://vp.eventival.com/goeast/2024 ; https://filmfreeway.com/goEastFilmFestival,"FilmFreeway,Eventival","Open to Central and Eastern Europe: Albania, Armenia, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Estonia, Georgia, Hungary, Kazakhstan, Kosovo, Kyrgyzstan, Latvia, Lithuania, North Macedonia, Moldova, Montenegro, Poland, Romania, Russia, Serbia, Slovakia, Slovenia, Tajikistan, Turkmenistan, Ukraine, Uzbekistan. 
Films must be at least 60 minutes in duration. 
There is also an academic focus to this festival in their symposium activity.",Active,4/22/2025
Göteborg Film Festival,Europe,Sweden,Gothenburg,23/1/2026,1/2/2026,10 days,https://goteborgfilmfestival.se/en/,Feature Documentary,,checked,24/10/2025,,,https://goteborgfilmfestival.se/en/submissions/,,"Nordic Documentary Competition.
Temporary submission deadline

",Active,4/22/2025
Green Film Festival of San Francisco,North America,USA,"San Francisco, CA",6/11/2025,13/11/2025,8 Days,https://sfindie.com/,"Feature Documentary,Short Documentary,Mid-length Documentary",Environment,,6/9/2025,27/9/2025,,https://filmfreeway.com/sfgreenfilmfest,FilmFreeway,"Shorts under 20 min
Mid length 20-45 min
Features over 45 min",Active,4/23/2025
Guadalajara International Film Festival (FICG),North America,Mexico,Guadalajara,6/6/2025,14/6/2025,9 days,ficg.mx,"Short Documentary,Mid-length Documentary,Feature Documentary",,,14/2/2025,,,https://vp.eventival.com/ficg,Eventival,"Shorts: 30 minutes and under.
Features: 60 minutes and longer. 
More info: https://ficg.mx/en/convocatorias",Active,4/22/2025
Guangzhou International Documentary Film Festival (GZDOC),Asia Pacific,China,Guangzhou,27/11/2024,29/11/2024,3 days,http://www.gzdoc.cn/en/index.aspx,"Short Documentary,Mid-length Documentary,Feature Documentary,Episodic",,,10/8/2024,31/8/2024,checked,https://filmmakers.festhome.com/festival/gzdoc ; https://filmfreeway.com/GZDOC,"Festhome,FilmFreeway","No info about 2025 edition

Feature Documentary: greater than 40 mins;Short Documentary: between 10 and 40 mins (including 40);
Micro-Documentary: within 10 mins (including 10);
Documentary Series: At least 3 episodes with inter-related content.",Active,4/22/2025
Hamptons International Film Festival,North America,USA,"East Hampton, NY",3/10/2025,13/10/2025,10 days,https://hamptonsfilmfest.org,"Short Documentary,Feature Documentary,Student Documentary,Mid-length Documentary",,,24/4/2025,15/5/2025,,https://filmfreeway.com/HamptonsFilm,FilmFreeway,Shorts under 40 minutes. features over 40 minutes.,Active,4/22/2025
Harlem International Film Festival,North America,USA,"New York City, NY",17/9/2025,21/9/2025,5 days,https://harlemfilmfestival.org,"Short Documentary,Mid-length Documentary,Feature Documentary,VR/AR,Episodic",,,28/3/2025,23/5/2025,,https://filmfreeway.com/HarlemInternationalFilmFestival,FilmFreeway,"Shorts are 44 minutes and under; features are 45 minutes and longer. 
",Active,4/22/2025
Helsinki International Film Festival – Love & Anarchy,Europe,Finland,Helsinki,18/9/2025,28/9/2025,11 days,https://hiff.fi/en/,"Short Documentary,Student Documentary",,,31/5/2025,,checked,https://airtable.com/appFYvvR3TPVRwUpa/shrQaouRgJsI0YRma,,"Features by invitation only. 
Submission for shorts up to 30 min
More Info: https://hiff.fi/en/ra2024/info/#national-competition
",Active,4/22/2025
Hong Kong International Film Festival,Asia Pacific,Hong Kong,Hong Kong,10/4/2025,21/4/2025,12 days,https://www.hkiff.org.hk,"Short Documentary,Mid-length Documentary,Feature Documentary",,checked,31/12/2024,,,https://www.hkiff.org.hk/default/come?url=society/CallForEntries,,Documentary shorts  are 20−60 mins and features any film longer than 60 minutes. ,Active,5/6/2025
Hot Docs,North America,Canada,Toronto,24/4/2025,4/5/2025,11 days,http://www.hotdocs.ca,"Short Documentary,Mid-length Documentary,Feature Documentary",,checked,16/11/2024,4/1/2025,,,,"Feature-Length: 66 minutes or longer
Mid-Length: 41 to 65 minutes
Short: 40 minutes or less
",Active,4/22/2025
Hot Springs Documentary Film Festival,North America,USA,"Hot Springs, AR",10/10/2025,18/10/2025,9 days,https://www.hsdfi.org,"Short Documentary,Mid-length Documentary,Feature Documentary,Episodic",,,1/5/2025,15/7/2025,,https://filmfreeway.com/HotSpringsDocumentaryFilmFestival,FilmFreeway,"Shorts under 40 min
Features over 40 min",Active,4/22/2025
HUMAN International Documentary Film Festival,Europe,Norway,Oslo,2/3/2026,8/3/2026,7 days,https://humanfilm.no/en/,Feature Documentary,Human Rights,,,,,https://vp.eventival.com/humanfilm/2025,Eventival,"HUMAN IDFF does not have a formal submission process for international documentaries, but we do welcome film suggestions: https://vp.eventival.com/humanfilm/2025/film-form/film_suggestion_form
For Norwegian filmmakers, see: https://humanfilm.no/filmpamelding/
Submission deadlines TBA",Active,5/6/2025
Human Rights Watch Film Festival,North America,USA,"New York City, NY",,,,https://ff.hrw.org,,,,,,,,,"Closed: https://www.hrw.org/news/2024/03/13/human-rights-watch-end-its-celebrated-film-festival#:~:text=The%20decision%20to%20close%20the,Canada%20starting%20on%20March%2021 ",Inactive,12/25/2024
Human Screen Festival,Africa,Tunisia,Tunis,25/11/2025,29/11/2025,5 Days,http://human-screen.com/,"Feature Documentary,Mid-length Documentary,Short Documentary",Human Rights,,30/7/2025,,checked,https://filmfreeway.com/humanscreenfestival,FilmFreeway,"Website currently down
- Long films must be between 45 to 100 mins limit.
- Short films must be between 3 to 30 mins limit.",Active,4/23/2025
HUMANS Fest -  International Film Festival on Film and Human Rights of Valencia,Europe,Spain,Valencia,29/5/2025,7/6/2025,10 days,http://humansfest.com,"Short Documentary,Feature Documentary",Human Rights,,30/4/2025,,checked,https://filmmakers.festhome.com/en/festival/festival-internacional-de-cine-y-derechos-humanos-de-valencia-humans-fest,Festhome,"Short films under 30 minutes; features must have a minimum duration of 60 minutes. 
",Active,4/22/2025
Ícaro - International Film Festival in Central America ,Central and South America,Guatemala,Guatemala City,23/11/2024,30/11/2024,8 days,https://festivalicaro.com/,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",,,30/6/2024,30/6/2024,,https://filmfreeway.com/icaro,FilmFreeway,,Active,4/22/2025
IceDocs - Iceland Documentary Film Festival,Europe,Iceland,Akranes,23/7/2025,27/7/2025,7 days,icedocs.is,"Short Documentary,Mid-length Documentary,Feature Documentary",,,15/3/2025,5/4/2025,,https://filmfreeway.com/IcelandDocumentaryFilmFestival-1,FilmFreeway,,Active,4/22/2025
IDFA,Europe,Netherlands,Amsterdam,13/11/2025,23/11/2025,11 days,https://www.idfa.nl/en/,"Short Documentary,Feature Documentary,VR/AR,Student Documentary,Live,Creative/Experimental",,checked,24/4/2025,10/7/2025,,https://professionals.idfa.nl/program/festival-entries/,,Regulations : https://professionals.idfa.nl/en/program/festival-entries/festival-entry-regulations/ ,Active,4/22/2025
IFFR,Europe,Netherlands,Rotterdam,29/1/2026,8/2/2026,11 days,https://iffr.com/en,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental,VR/AR",Fiction (mainly),checked,30/8/2025,,,https://iffr.com/en/film-entry,,"Shorts and mid-length up to 63 min
Features over 64 min

2026 Deadlines TBC",Active,4/22/2025
IndieLisboa International Film Festival,Europe,Portugal,Lisbon,1/5/2025,11/5/2025,11 days,https://indielisboa.com/en/,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",Independent film,,19/11/2024,20/12/2024,,https://filmfreeway.com/IndieLisboa,FilmFreeway,"While there is no specific category for ""mid-length"" documentary, the festival accepts short submissions up to 59 minutes in length, which will allow for mid-length films. For the purposes of the international competition, these films will be considered shorts. Films must be a Portugal premiere. 

Regulations & Fees
https://indielisboa.com/en/festival/rules-and-terms/
",Active,12/25/2024
Inside Out,North America,Canada,Toronto,23/5/2025,31/5/2025,9 days,https://insideout.ca,"Short Documentary,Creative/Experimental,Feature Documentary,Mid-length Documentary",2SLGBTQIA+ ,,16/12/2024,13/1/2025,,https://filmfreeway.com/InsideOutToronto2SLGBTQ,FilmFreeway,"For short/mid-length films, preference given to films under 25 minutes. ",Active,12/25/2024
Interfilm - International Short Film Festival Berlin,Europe,Germany,Berlin,4/11/2025,9/11/2025,6 days,https://www.interfilm.de/en/,"Short Documentary,Creative/Experimental,Student Documentary",,,28/5/2025,,,https://www.shortfilmdepot.com/en/festival/33 ,Shortfilmdepot ,Short films up to 20 minutes will be considered. ,Active,4/22/2025
International Documentary and Short Film Festival of Kerala,Asia Pacific,India,Kerala,18/7/2025,23/7/2025,6 days,https://idsffk.in,"Short Documentary,Mid-length Documentary,Feature Documentary",,checked,5/5/2025,,,https://vp.eventival.com/idsffk/idsffk2024/film-form/film-submission,Eventival,"Shorts below 40 min
Features 40 and above
More info: https://idsffk.in/assets/idsffk_2025/17_IDSFFK_Rules_and_Regulations.pdf",Active,4/22/2025
International Human Rights Film Festival Albania,Europe,Albania,Tirana,15/9/2025,20/9/2025,6 days,https://ihrffa.net,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary",Human Rights,,31/3/2025,30/4/2025,checked,https://filmfreeway.com/ihrffa,FilmFreeway,"Non-competitive festival.
Documentaries can be anything from 3mins to 115mins.
",Active,4/22/2025
Internationale Kurzfilmtage Wintherthur,Europe,Switzerland,Winterthur,4/11/2025,9/11/2025,6 days,https://www.kurzfilmtage.ch/en,"Short Documentary,Creative/Experimental,Student Documentary",,,13/7/2025,,,https://formulare.kurzfilmtage.ch/anmeldung.php?lang=enlang=en,"Shortfilmdepot ,FilmFreeway","Short films of all genres no longer than 30 minutes (International Competition) or 40 minutes (Swiss Competition)

More info: https://www.kurzfilmtage.ch/en/industry/film-submissions ",Active,4/22/2025
Ismailia International Film Festival For Documentaries & Shorts,Middle East and North Africa,Egypt,Giza,5/2/2025,11/3/2025,7 days,http://ismailiafilmfest.com/ismailia2024/,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary",,,25/11/2024,,,,,"Films under 60 minutes considered as shorts; any film longer than 60 minutes considered a feature. 
",Active,4/22/2025
It's All True - International Documentary Film Festival ,Central and South America,Brazil, São Paulo and Rio de Janeiro,3/4/2025,11/4/2025,9 days,https://etudoverdade.com.br/en/home/,"Short Documentary,Mid-length Documentary,Feature Documentary",,,15/12/2024,,checked,,,"No updates on 2026 dates and submission yet.

Shorts are films up to 30 minutes; mid-length/feature any film longer than 40 minutes. ",Active,4/22/2025
Jean Rouch International Festival,Europe,France,Paris,8/5/2025,15/5/2025,8 days,https://www.comitedufilmethnographique.com/event/festival-international-jean-rouch-2024/,"Short Documentary,Mid-length Documentary,Feature Documentary",Ethnographic film,,16/11/2024,,,https://filmfreeway.com/JeanRouchInternationalFilmFestival,FilmFreeway,"Our purpose is to reflect the wealth of social sciences research and to give an insight into the diversity, creativity, and originality of cinematic genres and narratives.",Active,12/25/2024
JEF Festival - Youth Film Festival Antwerp,Europe,Belgium,Antwerp,16/2/2026,1/3/2026,15 days,https://jeffestival.be/en,"Short Documentary,Feature Documentary,VR/AR,Student Documentary",Children and young audiences,,7/10/2025,,checked,https://forms.gle/bRk94KyE4oavB4fw6,,"Submission deadlines 2026 TBA

Short documentaries up to 25 minutes will be considered. Features are 60 minutes and longer. 

https://www.jeugdfilmfestivalantwerpen.be/en/industry-0",Active,4/22/2025
Jeonju International Film Festival,Asia Pacific,South Korea,Jeonju,30/4/2025,9/5/2025,10 days,http://eng.jiff.or.kr,"Mid-length Documentary,Feature Documentary",Emerging,,2/1/2025,,,https://eng-entry.jeonjufest.kr/en/submission.asp,,"Films 40 minutes and longer are accepted.
Koren Shorts only
International Competition: A first or second feature-length film of an emerging filmmaker(s) 
More info: https://entry.jeonjufest.kr/en/JEONJU_IFF_Regulation.pdf",Active,4/22/2025
Ji.hlava International Documentary Film Festival,Europe,Czech Republic,Jihlava,24/10/2025,2/11/2025,10 days,https://www.ji-hlava.com,"Short Documentary,VR/AR,Feature Documentary,Mid-length Documentary,Creative/Experimental",,checked,28/2/2025,30/6/2025,,https://vp.eventival.com/jidff/,Eventival,More info: https://www.ji-hlava.com/prihlaseni-filmu,Active,4/22/2025
Julien Dubuque International Film Festival,North America,USA,"Dubuque, IA",21/4/2025,27/4/2025,7 days,https://julienfilmfest.com,"Feature Documentary,Short Documentary,Mid-length Documentary,Student Documentary",,,16/1/2025,17/2/2025,,https://filmfreeway.com/JulienDubuqueInternationalFilmFestival,FilmFreeway,Categories: 3-20 minutes; 21-49 minutes; 50 minutes and longer.  ,Active,4/22/2025
Karama Human Rights Film Festival,Middle East and North Africa,Jordan,Amman,5/12/2024,12/12/2025,8 days,https://karamafestival.org,"Short Documentary,Mid-length Documentary,Feature Documentary",Human Rights,,30/9/2024,31/10/2024,,https://filmfreeway.com/KaramahHumanRightsFilmFestival,FilmFreeway,"No 2025 information available yet. 
",Active,4/22/2025
Karlovy Vary International Film Festival,Europe,Czech Republic,Karlovy,4/6/2025,12/7/2025,9 days,https://www.kviff.com/en/homepage,Feature Documentary,,checked,28/2/2025,31/3/2025,,https://www.kviff.com/en/programme/film-entry ,,Rules and Regulations : https://www.kviff.com/docs/2025/Rules_and_Regulations_59th_KVIFF.pdf,Active,4/22/2025
Key West Film Festival,North America,USA,"Key West, FL",12/11/2025,16/11/2025,5 days,https://keywestff.com/,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary",,,31/7/2025,31/8/2025,,https://filmfreeway.com/KeyWestFilmFestival,FilmFreeway,"-Short films must be under 59 minutes in duration.
-Feature films must be 60-180 minutes in duration.",Active,4/22/2025
Kolkata International Film Festival,Asia Pacific,India,Kolkata,4/12/2024,11/12/2024,8 days,https://kiff.in,"Short Documentary,Mid-length Documentary",,,31/8/2024,31/8/2024,checked,https://kiff.in/submission,,"No info about the 2025 edition yet.

Documentaries up to 60 minutes in duration are accepted. 

Regulations: https://kiff.in/uploads/pdf/Submission-Guidelines.pdf ",Active,4/22/2025
Krakow Film Festival,Europe,Poland,Krakow,25/5/2025,1/6/2025,8 days,https://www.krakowfilmfestival.pl/en,"Short Documentary,Feature Documentary,Mid-length Documentary",,checked,30/11/2024,31/1/2025,,https://www.krakowfilmfestival.pl/en/65th-kff/rules-and-regulations-65th-kff/,,"Shorts up to 30 min
Features over 50 min
",Active,4/22/2025
Kurzfilm Festival Hamburg  - Hamburg International Short Film Festival,Europe,Germany,Hamburg,3/6/2025,8/6/2025,6 days,https://festival.shortfilm.com/en,Short Documentary,,,7/2/2025,7/2/2025,, https://filmfreeway.com/KurzfilmFestivalHamburg,FilmFreeway,"More info: https://festival.shortfilm.com/en/submissions 

Festival has International, German, Children's and Ultra-short film (Tripel Axel) competitions. ",Active,12/25/2024
Lago Film Fest,Europe,Italy,Lago,18/7/2025,26/7/2025,9 days,https://www.lagofest.org/?lang=en,"Short Documentary,Mid-length Documentary,Creative/Experimental",Independent film,,15/1/2025,,checked,https://iscrizioni.lagofest.org/indexen.php,,"Accepts short documentaries up to 50 minutes. 
",Active,4/22/2025
Leeds International Film Festival,Europe,United Kingdom,Leeds,6/11/2025,23/11/2025,18 days,https://www.leedsfilm.com,"Short Documentary,Feature Documentary",,,26/7/2025,31/7/2026,,https://filmfreeway.com/leedsfilmfest,FilmFreeway,"Under 40mins is classified as a short film, over 40mins is considered a feature film. ",Active,4/22/2025
Les Arcs Film Festival,Europe,France,"Bourg-Saint-Maurice, Savoie",13/12/2025,20/12/2025,8 days,https://lesarcs-filmfest.com/en,"Short Documentary,Feature Documentary",Fiction (mainly),,15/8/2025,,,https://film.lesarcs-filmfest.com/en/identification,FestiCine,"Submission deadline TBC

The main production company MUST BE BASED GEOGRAPHICALLY IN EUROPE.

Regulations: https://film.lesarcs-filmfest.com/en/film/rules ",Active,4/22/2025
Leuven International Short Film Festival,Europe,Belgium,Leuven,28/11/2025,6/12/2025,9 days,https://www.kortfilmfestival.be/en,"Short Documentary,VR/AR",,,15/8/2025,,,https://filmfreeway.com/LeuvenInternationalShortFilmFestival,FilmFreeway,"Flemish Deadline: September 15, 2025

Maximum short duration is 35 minutes. Separate entry deadline for Flemish filmmakers. Consult guidelines. ",Active,4/22/2025
Liberation DocFest Bangladesh,Asia Pacific,Bangladesh,Dhaka,26/6/2025,30/6/2025,5 days,http://liberationdocfestbd.org,"Short Documentary,Mid-length Documentary,Feature Documentary",,,20/10/2024,10/11/2024,,https://filmfreeway.com/LiberationDocfestBangladesh,FilmFreeway,"
",Active,4/22/2025
Lichter Filmfest Frankfurt International,Europe,Germany,Frankfurt,22/4/2025,27/4/2025,6 days,https://lichter-filmfest.de/en/,"Short Documentary,VR/AR,Feature Documentary",,,,,,,,"No submission information.

Features Awards for Art Film, VR Film, International Doc Features, German Future Cinema and also includes a Congress on German Cinema as part of the festival event.",Active,12/25/2024
Ljubljana International Film Festival - LIFFe,Europe,Slovenia,Ljubljana,13/11/2024,24/11/2024,12 days,https://www.liffe.si/en/,Feature Documentary,,,,,,,,"By invitation only. 
https://filmitalia.org/en/festival/34335/",Active,4/22/2025
Locarno Film Festival,Europe,Switzerland,Locarno,6/8/2025,16/8/2025,11 days,https://www.locarnofestival.ch/LFF/home.html,"Short Documentary,Feature Documentary,Mid-length Documentary,Creative/Experimental",,checked,10/4/2025,24/4/2025,,https://www.locarnofestival.ch/LFF/Film-Submission.html,,"More info: https://www.locarnofestival.ch/LFF/Film-Submission.html 

Short films are 40 minutes and under. Mid-length and features must be more than 40 minutes in duration. 
",Active,4/22/2025
Majordocs,Europe,Spain,Palma,7/10/2025,11/10/2025,5 days,https://majordocs.org/,"Feature Documentary,Creative/Experimental,Mid-length Documentary",,,4/4/2025,24/4/2025,,https://filmfreeway.com/majordocs,FilmFreeway,,Active,4/22/2025
MAMI Mumbai Film Festival,Asia Pacific,India,Mumbai,19/10/2024,24/11/2024,8 days,http://www.mumbaifilmfestival.com,Feature Documentary,,,30/6/2024,30/6/2024,,https://mami.mumbaifilmfestival.com/festival,,No info about 2025 edition,Active,4/22/2025
Mar Del Plata International Film Festival,Central and South America,Argentina,Buenos Aires,21/11/2024,1/12/2024,11 days,https://www.mardelplatafilmfest.com/39/en/,Feature Documentary,Fiction (mainly),checked,30/6/2025,,,https://docs.google.com/forms/d/e/1FAIpQLSdTgVImQ53592qKABJx9I_FXQwPieMQ-TXxSZvAPI4SxI3GMA/viewform,,"No info about 2025 edition
More info: https://www.mardelplatafilmfest.com/39/en/reglamento",Active,4/22/2025
Martovski Festival -  Belgrade Documentary and Short Film Festival,Europe,Serbia,Belgrade,25/3/2025,29/3/2025,5 days,http://martovski.rs/en/,"Feature Documentary,Creative/Experimental,Short Documentary,Mid-length Documentary",,,15/1/2025,,,https://filmfreeway.com/MARTOVSKI,FilmFreeway,"Has a National focus for Serbian docs (short and feature) and an International focus for non-Serbian docs. Also has a short experimental film strand. 
",Active,4/22/2025
Maui Film Festival,North America,USA,"Maui, HI",29/8/2024,2/9/2024,5 days,https://www.mauifilmfestival.com,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",,,30/6/2024,5/8/2024,,https://filmfreeway.com/MauiFilmFestival,FilmFreeway,"No 2025 info available
All genres and lengths accepted.",Active,4/22/2025
MDOC - Melgaço International Documentary Film Festival,Europe,Portugal,Melgaço,28/7/2025,3/8/2025,7 days,https://mdocfestival.pt/en/index,"Feature Documentary,Mid-length Documentary,Short Documentary",,,18/5/2025,,,https://filmmakers.festhome.com/f/2911/1 ; https://filmfreeway.com/mdocfestival,"Festhome,FilmFreeway","2025 edition will select documentaries under the themes of identity, memory and border. All films must express the author's point of view on aspects related to social, individual, cultural and identity issues.
Features over 60 min
Mid or short films under 60 min",Active,4/22/2025
Mecal - Barcelona International Short and Animation Film Festival,Europe,Spain,Barcelona,26/6/2025,6/7/2025,11 days,https://www.mecalbcn.org/,Short Documentary,,,2/2/2025,31/3/2025,,https://filmfreeway.com/mecalbcn,FilmFreeway,,Active,12/25/2024
Medfilm Festival,Europe,Italy,Rome,6/11/2025,16/11/2025,11 days,https://www.medfilmfestival.org,"Feature Documentary,Short Documentary,Student Documentary","Mediterranean,Middle East",,31/7/2025,,,https://filmfreeway.com/MedFilmFestival,FilmFreeway,"Features: minimum length of 40 minutes. 
Shorts: maximum length of 30 minutes.
",Active,4/22/2025
Mediawave - Another Connection International Film and Music Gathering,Europe,Hungary,Szigliget,1/5/2025,4/5/2025,4 days,http://mediawavefestival.hu/?nyelv=eng,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental,Student Documentary","Experimental,Independent film",,8/11/2024,,,https://filmfreeway.com/MEDIAWAVE-ANOTHERCONNECTIONInternationalFilmandMusicGathering,FilmFreeway,,Active,4/23/2025
Melbourne International Film Festival,Asia Pacific,Australia ,Melbourne,7/8/2025,24/8/2025,18 days,https://miff.com.au,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental,VR/AR",,,17/10/2024,1/2/2025,,https://miff.com.au/submissions,,"Shorts up to 40 minutes and 29 secs
Features over 40 min 30 secs
More info: https://miff.com.au/submissions

The MIFF Shorts Awards are Academy Awards® accredited. The 2025 winners of the Best Short Film, Best Australian Short Film, Best Documentary Short Film and Best Animation Short Film awards are eligible to submit their films for the 98th Academy Awards® in 2026.

The MIFF Shorts program is also BAFTA Qualifying. Any British film programmed for the 2025 festival is subsequently eligible for entry in the British Short Film and British Short Animation categories of the 2026 BAFTA Film Awards. ",Active,5/22/2025
Mendocino Film Festival,North America,USA,"Mendocino, CA",29/5/2025,1/6/2025,4 days,https://mendocinofilmfestival.org,"Short Documentary,Feature Documentary,Mid-length Documentary",,,1/11/2024,31/12/2024,,https://filmfreeway.com/MendocinoFilmFestival,FilmFreeway,"features : 50 minutes and longer
",Active,12/25/2024
Message To Man International Film Festival,Europe,Russia,St. Petersburg,17/10/2025,25/10/2025,9 days,https://message2man.com/en/,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",,,1/7/2025,,,https://message2man.com/en/schedule-and-tickets/application-for-participation/ ; https://filmfreeway.com/message2man ; https://filmmakers.festhome.com/en/festival/message-to-man,"Festhome,FilmFreeway","Full-length documentary films (from 40 to 120 minutes)
Short documentary films (up to 40 minutes).

Regulations:  https://message2man.com/en/schedule-and-tickets/regulations/",Active,4/23/2025
Miami International Film Festival,North America,USA,"Miami, FL",4/4/2025,13/4/2025,10 days,https://miamifilmfestival.com,"Short Documentary,Mid-length Documentary,Feature Documentary,VR/AR",,,1/11/2024,1/1/2026,,https://filmfreeway.com/MiamiFilmFestival,FilmFreeway,"Submissions for the 43rd Annual Miami Film Festival will open Fall 2025.
Shorts under 30 minutes. Features 50 minutes and longer.",Active,5/6/2025
MIDBO - Muestra Internacional Documental de Bogotá,Central and South America,Colombia,Bogotá,29/10/2025,7/11/2025,10 days,https://midbo.co/,"Feature Documentary,Mid-length Documentary,Short Documentary",,,31/5/2025,10/5/2025,,https://filmmakers.festhome.com/festival/688,Festhome,,Active,4/23/2025
Milan International Film Festival,Europe,Italy,Milan,29/12/2022,8/1/2023,11 days,http://www.miff.it,"Feature Documentary,Short Documentary",,,1/6/2022,7/10/2022,,https://www.miffawards.com/pages/film_subscribers.php?lang=en,,"No further submissions or event dates.. 

",Inactive,4/23/2025
Mill Valley Film Festival,North America,USA,"San Rafael, CA",2/10/2025,12/10/2025,11 days,https://www.mvff.com,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",Independent film,,1/6/2025,22/6/2025,,https://filmfreeway.com/MillValleyFilmFestival,FilmFreeway,"Features 50 min and longer
Mid length 31-50 mins
Shorts 30 min or less",Active,4/23/2025
Minneapolis St. Paul International Film Festival,North America,USA,"Minneapolis, MN",2/4/2025,13/4/2025,12 days,https://mspfilm.org/festivals/mspiff/,"Short Documentary,Mid-length Documentary,Feature Documentary",,,1/11/2024,15/12/2024,,https://filmfreeway.com/mspiff,FilmFreeway,"Short docs are under 40, but 15 minutes and under have a higher rate of acceptance. Features are any film over 40 minutes.",Active,4/23/2025
MiradasDoc International Documentary Film Festival,Europe,Spain,"Isla de Isora, Tenerife, Canary Islands",15/3/2024,22/3/2024,8 days,https://miradasdoc.com/,"Feature Documentary,Short Documentary","Human Rights,Global South",,30/9/2023,,,https://www.miradasdoc.com/mdoc2024/registration-films/?lang=en,,"No edition in 2025 

Prizes for Best Documentary, Best Short Documentary and Best National Documentary.

Regulations: https://www.miradasdoc.com/mdoc2024/reglamento/?lang=en ",Active,4/23/2025
Molodist - Kyiv International Film Festival,Europe,Ukraine,Kyiv,25/10/2025,2/11/2025,9 days,https://molodist.com/en,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary","First feature,Emerging",,15/7/2025,1/8/2025,,https://filmfreeway.com/Molodist,FilmFreeway,"Documentary mid-length/feature must be 60 minutes or longer. Shorts under 45. 

Regulations : https://molodist.com/en/reglament",Active,4/23/2025
Montreal Festival du Nouveau Cinéma,North America,Canada,Montreal,8/10/2025,19/10/2025,12 days,https://nouveaucinema.ca/en,"Short Documentary,Feature Documentary,Mid-length Documentary",,,30/4/2025,31/5/2025,,https://filmfreeway.com/NouveauCinema,FilmFreeway,"• Short film: under 59 minutes;
• Feature film: 59 minutes and over.",Active,4/23/2025
